id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
597vP6rhNkEpSHpCyriFnf,Flyin Baby,JACK MARLOW,39,2023-04-21,0.826,0.576,9,-10.317,0,0.0165,0.747,0.134,0.67,129.98,192000,4
3cEvwcgCxyMKIKFp37LGwS,Soundboy Surrender - Crossy Remix - Mixed,"Kartoon, Crossy",55,2022-07-22,0.53,0.856,10,-2.22,0,0.0176,0.351,0.245,0.718,87.513,61714,4
5cGZN0P1QnSfhCFBCHtp2N,Peach,"salute, Sammy Virji",55,2023-03-31,0.866,0.668,1,-7.472,1,0.0115,0.889,0.238,0.657,135.009,345311,4
4wP6mzWZC94dYmU6OYeljf,Maria Maria,TECH IT DEEP,69,2023-02-08,0.723,0.685,0,-6.79,1,0.0992,0.000601,0.244,0.386,127.987,161802,4
51oib6a2dRu2f6x8OMMphQ,Réveiller (feat. manon),"Shaolin Cowboy, manon",52,2021-03-26,0.842,0.418,8,-9.602,0,0.765,0.0228,0.117,0.448,128.009,289787,4
2UiYbgrzuAcxjCBPmNmMlC,Strawberries,"K-Lone, Wilfy D",42,2021-11-12,0.84,0.62,11,-7.854,0,0.0538,0.0401,0.0963,0.707,128.962,270208,4
3Fc7k96EGOGiJBMZUxbpq7,LITE SPOTS,KAYTRANADA,51,2016-05-06,0.884,0.549,1,-11.683,1,0.0346,0.0698,0.112,0.394,120.461,230920,4
0z3YYobsavHguLTgqg5GC1,Picture in My Mind,"PinkPantheress, Sam Gellaitry",63,2022-08-10,0.73,0.645,2,-6.506,0,0.587,0.0,0.0937,0.772,128.519,176931,4
71L9EZo8OEaZINg75dBUSW,Hombres y Mujeres,"Gordo, Feid",69,2022-11-18,0.85,0.81,1,-5.015,1,0.000445,0.00165,0.0541,0.818,130.024,148644,4
3UiWcKxB7gTgMmfV1pmzPP,FLUTE - HIGGO EDIT,"MONSS, Higgo",28,2023-03-03,0.631,0.654,0,-8.273,0,0.225,0.474,0.214,0.215,133.7,174667,4
7Ct3vIJXcqktKdj9cHONyv,KAYTRANADA_WAITIN_115 BPM,"Kelela, KAYTRANADA",41,2018-10-05,0.626,0.674,6,-7.097,0,0.131,0.0,0.402,0.436,114.937,304700,4
78dGpGY3eSm7NGLFtVhQDJ,Poison,Smokey Bubblin' B,59,2021-11-26,0.822,0.803,11,-7.958,0,0.000726,0.523,0.0667,0.813,127.003,276000,4
4TlIIHzB3LgHmrPofscKtv,Janet,Alé Araya,40,2022-06-29,0.54,0.618,8,-12.812,0,0.675,0.715,0.115,0.328,169.902,115765,4
1N8klHEbZ0bFOHnMVs8C9S,Fell In Love,"Marshmello, Brent Faiyaz",71,2023-05-05,0.732,0.464,1,-9.722,1,0.0899,3.1e-05,0.0997,0.647,149.954,121284,4
5UTqjzpLvxlzxAUZBoe6mq,Pink Champagne,Abby Roberts,37,2022-06-10,0.677,0.791,7,-5.622,0,0.542,3.06e-05,0.237,0.503,120.077,168000,4
4doxCAkqckpGTasPN6ByUu,Rebuke,"KAYTRAMINÉ, Aminé, KAYTRANADA",57,2023-05-19,0.606,0.622,9,-5.397,0,0.18,0.0,0.0883,0.581,86.867,118436,4
3vxlV9hAYOAjqJ9oFc1Dz7,Sometimes,"Charli Brix, Sl8r, Emz",16,2023-03-03,0.67,0.689,8,-3.19,1,0.0433,0.000121,0.114,0.643,170.083,200565,4
4njrVi6FhF7IPlGRlrmBX7,Celebrate,"Mickey Singh, Jay Skilly",30,2023-04-25,0.709,0.725,6,-6.285,0,0.0637,0.0,0.103,0.526,145.043,162061,4
2PspwQLfDzLUOyaxQ7de5L,Ecstasy - Mixed,"Fabich, Jafunk, Pastel, Bambie",62,2020-08-07,0.686,0.7,4,-11.281,0,0.206,0.0374,0.143,0.507,119.953,139558,4
6kculQDaWbfvZhimKkUEpD,Fever,Iyanya,33,2020-03-27,0.412,0.854,4,-4.497,0,0.208,0.0,0.224,0.748,205.394,194064,4
19XduGEc09GKirvjnvUFlK,Often,June Freedom,43,2022-06-24,0.678,0.497,6,-9.778,0,0.428,0.123,0.0889,0.916,204.252,137059,4
7ebsbZwgXRvssvuleJ3Ucl,Sumthin Crazy (with Rochelle Jordan),"Snakehips, Rochelle Jordan",32,2023-05-05,0.723,0.876,0,-5.259,1,0.0403,4.49e-05,0.203,0.707,119.979,186124,4
0lWW0X74IvjNlgY5glykvY,Many Ways (feat. Wizkid),"Bnxn, Wizkid",54,2022-08-24,0.773,0.526,5,-11.858,0,0.579,0.00297,0.169,0.813,99.989,227328,4
1gEB5InUzgNLHPv8H34v54,"Wake Up, Get Down","Cupidon, KALLITECHNIS, Ric Wilson",48,2021-04-09,0.747,0.453,10,-10.563,0,0.372,0.000276,0.125,0.374,108.911,259817,4
4MpJ40XbfFIJAL66FWyYKc,easy,"piri, Tommy Villiers, piri & tommy",35,2022-10-21,0.83,0.65,6,-8.318,1,0.496,9.29e-05,0.108,0.711,136.009,188680,4
2kvLtYfQaojEnPJ2zkozhr,player 2,"piri, Tommy Villiers, piri & tommy",35,2022-10-21,0.873,0.649,11,-7.458,0,0.279,2.75e-05,0.0837,0.954,135.004,180920,4
3urYUGRvToBI4u87OzsSMZ,beachin,"piri, Tommy Villiers, piri & tommy",47,2022-10-21,0.666,0.637,10,-9.664,0,0.33,0.0011,0.249,0.841,87.01,195227,4
0daWH6qNvD4kj0ybK7QvGg,sunlight,"piri, Tommy Villiers, piri & tommy",48,2022-10-21,0.672,0.436,6,-11.465,0,0.8,0.347,0.143,0.475,120.985,194453,4
52Td1R2HmvP5gevSgUaifx,Middle of Nowhere,Macabre Plaza,62,2021-09-15,0.611,0.718,8,-6.064,0,0.0562,0.927,0.194,0.57,105.788,61340,4
3vTkplYptoBlHph3eNeJA1,Another Dose (feat. Mick Jenkins),"Gamblers, Mick Jenkins",56,2022-07-08,0.855,0.488,11,-7.319,0,0.000618,0.111,0.129,0.413,126.021,138760,4
4n6t4Vfm7d0Juz9hlsep9P,Nova,MPH,46,2021-02-12,0.797,0.602,10,-7.231,0,0.149,0.845,0.109,0.478,131.998,213000,4
2M2itA0spt6ZXit7l21WMJ,Lights Go Down,"Drinks On Me, Why So Low",59,2021-01-22,0.688,0.707,4,-5.749,0,0.0999,9.37e-05,0.157,0.297,128.032,151875,4
1HBH8kuj2Ik9dOGYEeo9pB,I Was There For You,Kareem Ali,31,2022-02-22,0.668,0.625,4,-16.897,0,0.388,0.808,0.1,0.54,123.999,66774,4
1vyzpZ8td4h4QNpuATl3ZX,fumble (feat. piri),"Sudley, piri",43,2023-04-28,0.639,0.872,10,-3.075,1,0.138,0.0,0.342,0.685,171.912,174070,4
79FEKK0AZpiQoC2KejLQ4k,Falling,Daphni,49,2022-10-07,0.768,0.285,8,-16.713,1,0.646,0.931,0.117,0.859,131.761,72747,5
46Ur17kmu13wnprkWY7lkA,Afterparty Lover - Sped Up Edit,Kenya Grace,37,2023-02-16,0.747,0.75,10,-5.824,0,0.516,0.0,0.149,0.917,151.365,136000,4
2VuzBUB5V9AlpniCUhaszP,Fake ID (Coke & Rum Remix),"Riton, Kah-Lo, GEE LEE",76,2022-12-15,0.859,0.483,9,-13.12,0,0.011,0.00481,0.316,0.544,124.931,126720,4
30RYTinK04ncn6SaIFyzyO,Do You Wanna,Binta,22,2023-02-20,0.732,0.71,1,-4.397,1,0.217,0.00836,0.125,0.715,79.995,166356,4
5RRjw6mvUOaGOpHsgHufzH,Long Time No See,Yeek,34,2022-06-02,0.727,0.899,9,-2.798,0,0.0487,0.414,0.11,0.722,139.982,111857,4
3mDVUwwCkg7c8fjCwyIL9M,Wait Ting,"Redeyes, Fox",27,2022-03-25,0.492,0.87,9,-5.307,0,0.0279,0.793,0.0878,0.228,173.018,227575,4
1CsyC0EcWNOzuS0j9MDzSR,GROOVE,"veggi, Bipolar Sunshine, KALLITECHNIS",38,2022-11-11,0.73,0.557,0,-8.21,0,0.295,0.00502,0.0784,0.602,116.075,165517,4
54GAdNUIyrkume7NLjPLeP,Different Places,"Fifty Grand, optic core",44,2022-02-22,0.509,0.676,11,-10.97,0,0.000295,0.872,0.07,0.0982,133.854,134831,3
5a5q1sFcpMoPRk5fRGWq2W,In My Head,Take Van,55,2022-03-31,0.709,0.504,2,-5.913,0,0.224,0.772,0.146,0.651,139.973,104571,4
1l7JlXNhgZSarA9dHFR4JT,close your eyes,"tomcbumpz, ivri",54,2023-01-25,0.565,0.474,2,-12.219,1,0.873,0.62,0.0867,0.55,166.068,88087,4
4wMdqBMvVKpNPpRFiBRiXO,11:30,Duckwrth,46,2022-10-21,0.769,0.613,9,-8.757,0,0.448,8.79e-05,0.109,0.475,118.016,181017,4
6x74a97yVVRskQeOm787SG,Freaky (RGB),Yeek,42,2022-01-21,0.657,0.631,2,-6.814,1,0.0837,0.00158,0.115,0.319,144.913,109241,4
1sfLRmfnsHo4HwTAGK6u1k,Oranges,Kenya Grace,45,2022-09-28,0.791,0.581,7,-4.639,1,0.639,0.0,0.127,0.64,130.1,103688,4
3W4I18RHcu7OLsaTMFO471,U BELONG 2 ME - Mixed,Y U QT,33,2020-03-06,0.742,0.956,1,-5.026,1,0.276,0.608,0.193,0.884,135.188,113475,4
0m74Ak1u9167D99T0K4h4i,on & on - Acoustic,"piri, Tommy Villiers, piri & tommy",32,2022-11-04,0.721,0.358,5,-12.271,0,0.907,0.000352,0.109,0.901,84.929,144449,4
6mfM11rZkoXsU5xAArF4Ix,Like The Old Days,Barry Can't Swim,55,2022-11-15,0.653,0.787,0,-10.383,1,0.00356,0.841,0.264,0.631,121.991,240041,4
4tuIihi8Bv5WNHDLe8pkiy,silver lining,"piri, Tommy Villiers, piri & tommy",40,2022-10-21,0.77,0.596,9,-6.099,1,0.226,0.133,0.0728,0.908,140.012,154400,4
5mfGEs5n647v4WE3K5YmBy,on & on,"piri, Tommy Villiers, piri & tommy",62,2022-10-21,0.601,0.766,4,-7.649,0,0.146,0.0158,0.0816,0.821,173.994,135387,4
2bQ7sdGCOCoP4OTCdHPKFM,soft spot,"piri, Tommy Villiers, piri & tommy",50,2022-10-21,0.649,0.664,7,-7.836,1,0.0214,0.0242,0.152,0.442,169.913,223627,4
2X5JhyQkuFIj1jpByaQoC9,settle,"piri, Tommy Villiers, piri & tommy",35,2022-10-21,0.56,0.691,1,-5.798,1,0.405,0.0295,0.116,0.94,169.921,162053,4
4VZqbATiMbmwgSRnhfD9Tq,words,"piri, Tommy Villiers, piri & tommy",41,2022-10-21,0.728,0.96,6,-4.73,0,0.0713,0.00494,0.0859,0.616,134.039,190040,4
22L7DE6groVMHtzeVxbUdz,slowly but surely,"piri, Tommy Villiers, piri & tommy",33,2022-10-21,0.604,0.583,7,-11.577,1,0.609,0.703,0.0896,0.751,146.996,186333,4
1qYSKTn4Peb38J5828xUmF,say it,"piri, Tommy Villiers, piri & tommy",39,2022-10-21,0.637,0.588,4,-8.49,0,0.147,0.0103,0.354,0.522,84.507,178520,4
7aTiqvizn5SOscReZgehFM,can we,"piri, Tommy Villiers, piri & tommy",37,2022-10-21,0.733,0.749,10,-8.467,0,0.256,0.00443,0.24,0.969,173.959,156653,4
3uGQ2rca7o9jS20G40ruhM,y u?,Ella Rosa,35,2023-02-10,0.822,0.698,11,-8.295,0,0.158,0.0353,0.116,0.82,140.014,130286,4
6GDoulv0WO25vEFjN6pZOq,Just a Little,Lauren Faith,32,2018-08-16,0.797,0.586,6,-8.092,0,0.252,0.157,0.13,0.508,110.049,223794,4
22eVH66FuTAmnVxXfkoWqp,East Side,"Jaish, JACK MARLOW",53,2022-10-07,0.592,0.674,4,-7.417,0,0.218,0.0,0.165,0.81,127.975,170625,4
5reX6v9kQEJekEXj10yaHH,Luv U,V. Cartier,33,2018-10-15,0.675,0.55,3,-8.355,0,0.306,0.0,0.111,0.602,110.08,230727,4
0KCGBCA9Zm5FJeYv7dXe2a,Collabo,June Freedom,58,2021-06-18,0.725,0.444,6,-9.704,0,0.56,0.000731,0.124,0.821,91.992,146133,4
6ONNprntoihbrQMFkNUPlO,Nasty Remix ft Saint Levant,"Zeina, Saint Levant",54,2023-04-26,0.805,0.485,4,-6.665,1,0.143,0.0,0.0862,0.564,99.018,170367,4
26b3oVLrRUaaybJulow9kz,People,Libianca,81,2022-12-06,0.573,0.422,10,-7.621,0,0.551,1.31e-05,0.102,0.693,124.357,184791,5
3CblJq8QQQ0bb7vwJu8c3v,4EVA (feat. Pharrell Williams),"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams",56,2023-04-07,0.83,0.695,6,-9.445,0,0.0248,0.0755,0.0573,0.536,112.046,190373,4
410ZZP746AQeiywhKvXWCo,SORRY NOT SORRY,"Tyler, The Creator",70,2023-03-31,0.481,0.797,6,-4.094,0,0.404,0.0,0.368,0.495,96.237,206050,3
4Z1ZlABSKDlVByJL3y5OVs,HEAVEN TO ME,"Tyler, The Creator",61,2023-03-31,0.407,0.932,6,-5.253,1,0.273,0.0,0.676,0.396,174.849,230554,4
2sFEmuVVAa2klHwhFaT0rR,"BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)","Tyler, The Creator, YG",62,2023-03-31,0.778,0.847,6,-3.422,0,0.421,0.000363,0.35,0.658,109.226,204365,4
6OfOzTitafSnsaunQLuNFw,DOGTOOTH,"Tyler, The Creator",73,2023-03-31,0.706,0.648,8,-6.348,1,0.505,0.0,0.215,0.802,77.533,161041,4
3u9PAti8muEXXvEjeFpQK0,WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator, A$AP Rocky",65,2023-03-31,0.788,0.744,11,-6.022,1,0.189,5.74e-05,0.196,0.681,96.445,204110,4
